league_name,data_type,club,player_name,position,age,comp_url,player_url,injury,player_market_value,country,nationality,second_nationality,league_id,competition,reason,since,until,matches_missed,secondary_comp_name,injured_since,injured_until,yellow_cards
Jupiler Pro League,suspensions,KV Mechelen,Gora Diouf,Centre-Back,21,,,,,Belgium,,,BE1,Jupiler Pro League,visa issues,,,2.0,,,,
Jupiler Pro League,injuries,Club Brugge KV,Gustaf Nilsson,Centre-Forward,28,https://www.transfermarkt.com/jupiler-pro-league/verletztespieler/wettbewerb/BE1/plus/1,https://www.transfermarkt.com/gustaf-nilsson/profil/spieler/320440,Achilles tendon problems,5000000.0,Belgium,Sweden,,BE1,,,,,,Jupiler Pro League,,,
Jupiler Pro League,injuries,FCV Dender EH,Mohamed Berte,Second Striker,23,https://www.transfermarkt.com/jupiler-pro-league/verletztespieler/wettbewerb/BE1/plus/1,https://www.transfermarkt.com/mohamed-berte/profil/spieler/895402,Torn muscle bundle,1200000.0,Belgium,Belgium,Cote d'Ivoire,BE1,,,,,,Jupiler Pro League,,,
Jupiler Pro League,injuries,FCV Dender EH,Ragnar Oratmangoen,Left Winger,27,https://www.transfermarkt.com/jupiler-pro-league/verletztespieler/wettbewerb/BE1/plus/1,https://www.transfermarkt.com/ragnar-oratmangoen/profil/spieler/410854,infection,600000.0,Belgium,Indonesia,Netherlands,BE1,,,,,,Jupiler Pro League,,,
Jupiler Pro League,injuries,Union Saint-Gilloise,Promise David,Centre-Forward,24,https://www.transfermarkt.com/jupiler-pro-league/verletztespieler/wettbewerb/BE1/plus/1,https://www.transfermarkt.com/promise-david/profil/spieler/888785,minor knock,11000000.0,Belgium,Canada,Nigeria,BE1,,,,,,Jupiler Pro League,,,
Jupiler Pro League,injuries,Union Saint-Gilloise,Christian Burgess,Centre-Back,33,https://www.transfermarkt.com/jupiler-pro-league/verletztespieler/wettbewerb/BE1/plus/1,https://www.transfermarkt.com/christian-burgess/profil/spieler/244221,minor knock,2200000.0,Belgium,England,,BE1,,,,,,Jupiler Pro League,,,
Jupiler Pro League,injuries,RAAL La Louvière,Pape Moussa Fall,Centre-Forward,21,https://www.transfermarkt.com/jupiler-pro-league/verletztespieler/wettbewerb/BE1/plus/1,https://www.transfermarkt.com/pape-moussa-fall/profil/spieler/1176295,Fitness,500000.0,Belgium,Senegal,,BE1,,,,,,Jupiler Pro League,,,
Jupiler Pro League,injuries,RAAL La Louvière,Lucas Bretelle,Defensive Midfield,23,https://www.transfermarkt.com/jupiler-pro-league/verletztespieler/wettbewerb/BE1/plus/1,https://www.transfermarkt.com/lucas-bretelle/profil/spieler/941561,Fitness,600000.0,Belgium,France,,BE1,,,,,,Jupiler Pro League,,,
Jupiler Pro League,injuries,Zulte Waregem,Atli Barkarson,Left-Back,24,https://www.transfermarkt.com/jupiler-pro-league/verletztespieler/wettbewerb/BE1/plus/1,https://www.transfermarkt.com/atli-barkarson/profil/spieler/490852,Shoulder injury,400000.0,Belgium,Iceland,,BE1,,,,,,Jupiler Pro League,,,
Jupiler Pro League,injuries,Standard Liège,Henry Lawrence,Right-Back,23,https://www.transfermarkt.com/jupiler-pro-league/verletztespieler/wettbewerb/BE1/plus/1,https://www.transfermarkt.com/henry-lawrence/profil/spieler/580765,Appendectomy,1500000.0,Belgium,England,,BE1,,,,,,Jupiler Pro League,,,
